SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
################################################################################################################

# top
# ttbar
410501,     PowhegPythia8EvtGen_A14_ttbar_hdamp258p75_nonallhad,      730.17,       1.1391,            0.544,             1.
410470,     PhPy8EG_A14_ttbar_hdamp258p75_nonallhad,                  729.77,       1.13975636159,     5.4383E-01,        1.

# single top
410025,    PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_top,      2.0514,      1.00478210003,      1.0000,            1.
410026,    PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_antitop,  1.2615,      1.02153151011,      1.0000E+00,        1.
410011,    PowhegPythiaEvtGen_P2012_singletop_tchan_lept_top,         43.739,      1.00944237408,      1.0000E+00,        1. 
410012,    PowhegPythiaEvtGen_P2012_singletop_tchan_lept_antitop,     25.778,      1.01931879898,      1.0000E+00,        1.
410013,    PowhegPythiaEvtGen_P2012_Wt_inclusive_top,                 34.009,      1.054,              1.0000E+00,        1.
410014,    PowhegPythiaEvtGen_P2012_Wt_inclusive_antitop,             33.989,      1.054,              1.0000E+00,        1.
410015,    PowhegPythiaEvtGen_P2012_Wt_dilepton_top,                  3.5834,      1.054,              1.0000E+00,        1.
410016,    PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop,              3.5813,      1.054,              1.0000E+00,        1.
410644,    PowhegPythia8EvtGen_A14_singletop_schan_lept_top,          2.027,       1.0170,             1.0000E+00,        1.
410645,    PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop,      1.2674,      1.0167,             1.0000E+00,        1.
410646,    PowhegPythia8EvtGen_A14_Wt_DR_inclusive_top,               37.936,      0.9450,             1.0000E+00,        1.
410647,    PowhegPythia8EvtGen_A14_Wt_DR_inclusive_antitop,           37.905,      0.9457,             1.0000E+00,        1.
410658,    PhPy8EG_A14_tchan_BW50_lept_top,                           36.996,      1.1935,             1.0000E+00,        1.
410659,    PhPy8EG_A14_tchan_BW50_lept_antitop,                       22.175,      1.1849,             1.0000E+00,        1.

################################################################################################################
# VBF

308092,    Sherpa_221_NNPDF30NNLO_Zee2jets_Min_N_TChannel,           0.63148,      1.0,				   1.0000E+00,        1.
308093,    Sherpa_221_NNPDF30NNLO_Zmm2jets_Min_N_TChannel,           0.63522,      1.0,				   1.0000E+00,        1.
308094,    Sherpa_221_NNPDF30NNLO_Ztautau2jets_Min_N_TChannel,       0.63283,      1.0,				   1.0000E+00,        1.

################################################################################################################

# Diboson
363358,   Sherpa_221_NNPDF30NNLO_WqqZll,                              3.4332,      1.0,                1.0000E+00,        1.
363356,   Sherpa_221_NNPDF30NNLO_ZqqZll,                              15.561,      1.0,                1.4103E-01,        1.
363357,   Sherpa_221_NNPDF30NNLO_WqqZvv,                              6.7908,      1.0,                1.0000E+00,        1.
363355,   Sherpa_221_NNPDF30NNLO_ZqqZvv,                              15.565,      1.0,                2.7963E-01,        1.
363489,   Sherpa_221_NNPDF30NNLO_WlvZqq,                              11.418,      1.0,                1.0000E+00,        1.
364255,   Sherpa_222_NNPDF30NNLO_lvvv,                                3.235,       1.0,                1.0,               1.
364254,   Sherpa_222_NNPDF30NNLO_llvv,                                12.504,      1.0,                1.0,               1.
364253,   Sherpa_222_NNPDF30NNLO_lllv,                                4.5786,      1.0,                1.0000E+00,        1.
364250,   Sherpa_222_NNPDF30NNLO_llll,                                1.2519,      1.0,                1.0000E+00,        1.

################################################################################################################

# W+jets
# Powheg
361100, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu,    11306., 1.0172, 1., 1.
361101, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu,   11306., 1.0172, 1., 1.
361102, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu,  11306., 1.0172, 1., 1.
361103, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu,   8282.6, 1.0358, 1., 1.
361104, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusmunu,  8282.6, 1.0358, 1., 1.
361105, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminustaunu, 8282.6, 1.0358, 1., 1.

# Sherpa
# e
364172,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_BFilter,         19138.0,      0.9702, 		   4.4838E-02,        1.
364175,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_BFilter,       945.74,       0.9702,  		   0.10341,           1.
364178,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_BFilter,      339.67,       0.9702,			   0.10898,           1.
364181,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_BFilter,      72.1,         0.9702,		       1.3706E-01,        1.
364171,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CFilterBVeto,    19146.0,      0.9702,            1.3087E-01,        1.
364174,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CFilterBVeto,  945.56,       0.9702,            2.4378E-01,        1.
364177,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CFilterBVeto, 339.92,       0.9702,            2.9187E-01,        1.
364180,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CFilterBVeto, 72.112,       0.9702,            3.1974E-01,        1.
364170,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CVetoBVeto,      19152.0,      0.9702,            8.2467E-01,        1.
364173,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CVetoBVeto,    944.67,       0.9702,            6.7486E-01,        1.
364176,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CVetoBVeto,   339.69,       0.9702,            5.9880E-01,        1.
364179,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CVetoBVeto,   72.069,       0.9702,            5.4825E-01,        1.
364182,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV500_1000,             15.047,       0.9702,            1.0000E+00,        1.
364183,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV1000_E_CMS,           1.2342,       0.9702,            1.0000E+00,        1.

# mu
364158,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_BFilter,         19141.0,      0.9702,               4.4587E-02,        1.
364161,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_BFilter,       944.34,       0.9702,               8.3746E-02,        1.
364164,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_BFilter,      339.66,       0.9702,			   0.110298,          1.
364167,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_BFilter,      72.057,       0.9702,			   1.2405E-01,        1.
364156,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CVetoBVeto,      19151.0,      0.9702,               8.2440E-01,        1.
364159,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CVetoBVeto,    945.52,       0.9702,               6.7200E-01,        1.
364162,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CVetoBVeto,   339.77,       0.9702,               6.0280E-01,        1.
364165,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CVetoBVeto,   72.072,       0.9702,               5.4755E-01,        1.
364157,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CFilterBVeto,    19142.0,      0.9702,               1.3088E-01,        1.
364160,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CFilterBVeto,  945.52,       0.9702,               2.4592E-01,        1.
364163,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CFilterBVeto, 339.8,        0.9702,               2.9188E-01,        1.
364166,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CFilterBVeto, 72.093,       0.9702,               3.2013E-01,        1.
364168,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV500_1000,             15.007,       0.9702,               1.0000E+00,        1.
364169,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV1000_E_CMS,           1.2349,       0.9702,               1.0000E+00,        1.

# tau
364186,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_BFilter,         19147.0,      0.9702,			   4.5038E-02,        1.
364189,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_BFilter,       945.6,        0.9702,		       0.10391,           1.
364192,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_BFilter,      339.13,       0.9702,			   1.0247E-01,        1.
364195,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_BFilter,      71.95,        0.9702,			   1.3592E-01,        1.
364184,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_CVetoBVeto,      19156.0,      0.9702,              8.2465E-01,        1.
364187,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CVetoBVeto,    944.97,       0.9702,              6.7644E-01,        1.
364190,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CVetoBVeto,   339.79,       0.9702,              5.9869E-01,        1.
364193,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CVetoBVeto,   72.085,       0.9702,              5.4821E-01,        1.
364185,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_CFilterBVeto,    19149.0,      0.9702,              1.3157E-01,        1.
364188,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CFilterBVeto,  946.19,       0.9702,              2.4253E-01,        1.
364191,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CFilterBVeto, 339.68,       0.9702,              2.8465E-01,        1.
364194,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CFilterBVeto, 71.995,       0.9702,              3.1883E-01,        1.
364196,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV500_1000,             15.051,       0.9702,              1.0000E+00,        1.
364197,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV1000_E_CMS,           1.234,        0.9702,              1.0000E+00,        1.

################################################################################################################

# Z+jets
# Powheg
361106, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee,     1901.2, 1.026, 1., 1.
361107, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu,   1901.2, 1.026, 1., 1.
361108, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau, 1901.2, 1.026, 1., 1.

# Sherpa
# e

364116,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_BFilter,           1982.1,      0.9751,            6.5757E-02,        1.
364119,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_BFilter,         110.49,      0.9751,            1.1970E-01,        1.
364122,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_BFilter,        40.674,      0.9751,            1.5335E-01,        1.
364125,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_BFilter,        8.6821,      0.9751,            1.7627E-01,        1.
364114,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CVetoBVeto,        1981.5,      0.9751,            8.2141E-01,        1.
364117,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CVetoBVeto,      110.63,      0.9751,            6.9432E-01,        1.
364120,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CVetoBVeto,     40.711,      0.9751,            6.1632E-01,        1.
364123,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CVetoBVeto,     8.6718,      0.9751,            5.6351E-01,        1.
364126,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV500_1000,               1.8098,      0.9751,            1.0000E+00,        1.
364127,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV1000_E_CMS,             0.1487,      0.9751,            1.0000E+00,        1.
364115,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CFilterBVeto,      1981.7,      0.9751,            1.1405E-01,        1.
364118,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CFilterBVeto,    110.45,      0.9751,            1.8697E-01,        1.
364121,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CFilterBVeto,   40.674,      0.9751,            2.3287E-01,        1.
364124,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CFilterBVeto,   8.6654,      0.9751,            2.6618E-01,        1.

#mu
364102,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_BFilter,         1981.6,      0.9751,     		  6.5740E-02,        1.
364105,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter,       108.98,      0.9751,            1.2052E-01,        1.
364108,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_BFilter,      39.892,      0.9751,            1.5628E-01,        1.
364111,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_BFilter,      8.5276,      0.9751,            1.7657E-01,        1.
364100,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto,      1982.3,      0.9751,            8.2179E-01,        1.
364103,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto,    109.07,      0.9751,            6.8978E-01,        1.
364106,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CVetoBVeto,   39.884,      0.9751,            6.0179E-01,        1.
364109,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CVetoBVeto,   8.526,       0.9751,            5.6012E-01,        1.
364113,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV1000_E_CMS,           0.14758,     0.9751,            1.0000E+00,        1.
364112,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV500_1000,             1.7871,      0.9751,            1.0000E+00,        1.
364101,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto,    1982.1,      0.9751,            1.1356E-01,        1.
364104,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto,  108.94,      0.9751,            1.9588E-01,        1.
364110,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CFilterBVeto, 8.5261,      0.9751,            2.6632E-01,        1.
364107,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CFilterBVeto, 39.857,      0.9751,            2.3545E-01,        1.

#tau
364130,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_BFilter,         1982.1,      0.9751,            6.5759E-02,        1.
364133,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_BFilter,       110.63,      0.9751,            0.110886,          1.
364136,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_BFilter,      40.735,      0.9751,            1.5608E-01,        1.
364139,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_BFilter,      8.6797,      0.9751,            1.7626E-01,        1.
364128,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CVetoBVeto,      1981.7,      0.9751,            8.2142E-01,        1.
364131,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_CVetoBVeto,    110.56,      0.9751,            6.9260E-01,        1.
364134,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_CVetoBVeto,   40.793,      0.9751,            6.1823E-01,        1.
364137,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CVetoBVeto,   8.6642,      0.9751,            5.6327E-01,        1.
364140,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV500_1000,             1.8079,      0.9751,            1.0000E+00,        1.
364141,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV1000_E_CMS,           0.14823,     0.9751,            1.0000E+00,        1.
364129,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CFilterBVeto,    1981.6,      0.9751,            1.0907E-01,        1.
364132,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_CFilterBVeto,  110.55,      0.9751,            1.9020E-01,        1.
364135,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_CFilterBVeto, 40.718,      0.9751,            2.3417E-01,        1.
364138,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CFilterBVeto, 8.6756,      0.9751,            2.6523E-01,        1.
